##########  Generation 1  ##########

1)  0.0  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  -0.8  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  6.5  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  0.9  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.5  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  12.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  0.3  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.7  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  10.7  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.5  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  3.4  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  -0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  -0.4  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  4.6  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  9.0  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.5  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  16.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  7.6  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  1.3  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  13.2  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  -0.1  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  3.7  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  5.8  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  4.9  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.4  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  1.6  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  0.9  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 3.5700002

##########  Generation 2  ##########

1)  11.6  |  CLOMDEMMPGMDIMCGBMMKLLNLOPPMJJCDEHPIAADL
2)  9.9  |  DJEGEMMDMCHCOKGPGHCHDEEKLNCDDAMHMMMPECHL
3)  -0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
4)  7.6  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
5)  5.8  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
6)  -0.8  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
7)  13.0  |  KKACJABFLJLBKABIFPGOBDFCLFBACOCNFOKKDOJG
8)  -0.4  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  7.9  |  OFADMMCAPEMAMIAMHEFNKBANFEPJGOBJMBOCNKMM
10)  4.9  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  11.0  |  KKACMAKILJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
12)  11.5  |  KKACJABFLJLABMBIFLIKIMLOIMMJGIDEFOKKDOJG
13)  15.1  |  KJGLJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
14)  11.7  |  JDKDAFCEHBELCAGBNPKECJMBCBCOAGLJHJGAFLHD
15)  12.8  |  KEECILEKPLPBEPKIFLIKIMCALIMHIKKPEMIOFPBO
16)  9.7  |  PMJOMAKIEKFCEPKIFLIKLJNPMLFJAJOCKFMCBELO
17)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
18)  15.5  |  JDKDAFCEHBELCIEDCDKHFOAEPBCOAGLJHJGAFLHD
19)  13.2  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  1.6  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
21)  4.0  |  CLOMDEMMPGEKEBGABMMKKPNLOPPMJJCDEHPIAADL
22)  0.5  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
23)  0.5  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
24)  -0.1  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
25)  0.9  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
26)  12.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
27)  3.4  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
28)  16.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  3.7  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
30)  11.2  |  KDCOOLEKJPJDNKCGBMMNPCGOAHJOELHADFGICILP
Generation 2 Average Fitness: 7.183333

##########  Generation 3  ##########

1)  11.6  |  CLOMDEMMPGMDIMCGBMMKLLNLOPPMJJCDEHPIAADL
2)  16.9  |  KJGLJABFLJLAKABIFPGOBDFCLFBACOCNFOKKDOJG
3)  19.4  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
4)  18.1  |  KJGLJABFLJLABMBMGHKGNJMBCBCOAGLJHJKKDOJG
