##########  Generation 1  ##########

1)  -0.8  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  12.7  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  34.9  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  0.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.1  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  50.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  41.3  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  49.9  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  7.3  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  12.8  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.6  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.3  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  39.3  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  84.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  -0.6  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  0.6  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  59.2  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  0.2  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  5.0  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  1.4  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  9.2  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  35.1  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  1.4  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  26.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 15.850001

##########  Generation 2  ##########

1)  41.2  |  IBMLEOFEICBMMHMLKNMKKPNLOPPMJJCDEHAACPKL
2)  41.3  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
3)  0.6  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
4)  -0.6  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
5)  1.4  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
6)  76.5  |  FJDGKPILBALACHANFLIKIMLOIMMJGIDEAMLJLKIE
7)  51.0  |  KKACJABFLJCBKABIFPGOBDFCGFBACOCNFOKKDOJG
8)  0.3  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  49.3  |  FOGKGCLEAGKAMIAMHEFOPHMECKBEENHAEFAACPCG
10)  9.2  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  34.9  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
12)  49.9  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
13)  53.5  |  KJGLJKBFLJLABMBMFHEPBHMIONGOMNPDFODJNEEC
14)  0.6  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
15)  35.1  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
16)  37.0  |  PMJOMAKIEKFCEPKIFLIKLJNPMLFJAJDEAMLDBELO
17)  82.2  |  MJGMJJGFLENLHLAMNFMEDCCLGFBACOCNFOKKDEEK
18)  39.3  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
19)  59.2  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  1.4  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
21)  0.1  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
22)  7.3  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
23)  71.6  |  ANOLFGJKDPCHEHPPPJGEAGHOIKPILHMGLHNKMHGF
24)  0.2  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
25)  26.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
26)  50.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
27)  60.1  |  ANOLFGJKDPCCOOHOKOCEAGHOIKPILHMGLHNKMHGF
28)  84.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  5.0  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
30)  60.7  |  KDCODEMMPGMDIMCGBMMKKCGOAHJOELHADFGICILP
Generation 2 Average Fitness: 34.326664

##########  Generation 3  ##########

1)  41.2  |  IBMLEOFEICBMMHMLKNMKKPNLOPPMJJCDEHAACPKL
2)  58.0  |  KKACJKBFLJLABMBMFPGOBDFCGFBACOCNFOKKDOJG
3)  53.5  |  KJGLJKBFLJLABMBMFHEPBHMIONGOMNPDFODJNEEC
4)  59.2  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
5)  26.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
6)  41.3  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  0.3  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
8)  0.6  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
9)  1.4  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
10)  57.2  |  CLOMDEMMPGMDIMCGKOCEAGHOIKPILJCDEHPIAADL
11)  0.6  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
12)  49.3  |  FOGKGCLEAGKAMIAMHEFOPHMECKBEENHAEFAACPCG
13)  35.1  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
14)  0.1  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
15)  60.1  |  ANOLFGJKDPCCOOHOKOCEAGHOIKPILHMGLHNKMHGF
16)  63.6  |  ANOLFGJKDPCHEMILLCMEAGHOIKPILHMGLHNKMHGF
17)  9.2  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
18)  37.0  |  PMJOMAKIEKFCEPKIFLIKLJNPMLFJAJDEAMLDBELO
19)  57.1  |  ANOLFGJDPOAAMLPOMNMEAPJCNKPILHMGLHNKMHGF
20)  84.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
21)  1.4  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
22)  80.3  |  MJGMJJGFLENLHLAMNFMEDCCLGFBACOCNFOKKDEEK
23)  82.2  |  MJGMJJGFLENLHLAMNFMEDCCLGFBACOCNFOKKDEEK
24)  88.3  |  MJGMJJGFLENLEHPPPJGEAGHOIFBACOCNFOKKDEEK
25)  5.0  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
26)  76.5  |  FJDGKPILBALACHANFLIKIMLOIMMJGIDEAMLJLKIE
27)  73.8  |  FJDGKPILBJLABMANFLIKIMLOIMMJGIDEAMLJLKIE
28)  39.3  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
29)  59.1  |  FLENGPMKBEBGCMHODPGEAGHOIKPILHMGLHNKMHGF
30)  73.6  |  KDCODEMMBALACHANFLIKIMLOIMJOELHADFGICILP
Generation 3 Average Fitness: 43.833332

