##########  Generation 1  ##########

1)  41.1  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  55.3  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  37.0  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  0.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  1.1  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  52.7  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  29.5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  49.9  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.5  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  0.6  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.4  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  0.4  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  83.3  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  45.2  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  0.4  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  52.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  0.7  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  21.4  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  29.1  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  9.1  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  1.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  1.2  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  33.4  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 18.366667

##########  Generation 2  ##########

1)  41.1  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  29.5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
3)  0.4  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
4)  45.2  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
5)  29.1  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
6)  55.3  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
7)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
8)  0.5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  48.1  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
10)  9.1  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  85.9  |  FJDGKPILBALACHAIFLIKIMLOIKJBFLCMPGIJLKIE
12)  50.8  |  KKACJAKIEJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
13)  54.2  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
14)  0.4  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
15)  1.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
16)  0.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
17)  52.1  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
18)  38.3  |  JDKDAFCEMDCGJIEDCDKGNJMBCBCOAGLJHJGAFLHD
19)  52.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  1.2  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
21)  38.3  |  CLOMDEMMPGMDIMCGFELOPJOJIBMJNFJHEHPIAADL
22)  0.5  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
23)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
24)  16.5  |  JDKDAFCEHBELCAGBNMKPMHAJOJMLGLFLJFCPNLHD
25)  33.4  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
26)  52.7  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
27)  0.6  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
28)  83.3  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  62.5  |  ANOLFGJKDPCHEHKLKPBIEKAJAKMILHMGLHNKMHGF
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 2 Average Fitness: 29.536663

##########  Generation 3  ##########

1)  86.6  |  FJDGKPILBALMMHMLKNMKLLONMPJBFLCMPGIJLKIE
2)  56.6  |  KKACJABFLJLABMBMGHCOBDFCLLAJLIKAEOKKDOJG
3)  62.0  |  KKACJABFLJLABMGBNMKGNJMLGFBACOCNFOKKDOJG
4)  68.7  |  JDKDAFCEHBELCABMGHKGNJMBCBCOAGLJHJGAFLHD
5)  33.4  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
6)  29.5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  51.9  |  IDOMGOJIFHNJCMILLCNOIKLPCGECDLEJMBOCNKMM
8)  0.4  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
9)  7.7  |  JDADAFCEHBELCAGBNMKGNJPCKKOCKDNNMBGOAGDP
10)  52.7  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
11)  0.4  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
12)  48.1  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
