##########  Generation 1  ##########

1)  -3.3333334E-5  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  1.6666667E-5  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  1.5E-4  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  8.666667E-5  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  -3.3333333E-6  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  1.9666668E-4  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  9.333333E-5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.0666667E-4  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  1.8E-4  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  1.0000001E-5  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  1.0E-4  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  2.0000001E-5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.0  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  2.3333332E-5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  1.2E-4  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  1.1666667E-4  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  2.0000001E-5  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  2.2E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  3.0E-5  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  1.0000001E-5  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  1.3333333E-5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  2.2666667E-4  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  1.0666667E-4  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  8.666667E-5  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  1.2666667E-4  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  1.1666667E-4  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  9.333333E-5  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  5.6666668E-5  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  6.333333E-5  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  1.0000001E-5  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 7.877779E-5

##########  Generation 2  ##########

1)  -3.3333334E-5  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  9.333333E-5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
3)  0.0  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
4)  3.0E-5  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
5)  1.2666667E-4  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
6)  1.7333333E-4  |  FJDGKPILBALACHKIFLIKINCEPKJBFLCMPGIJLKIE
7)  1.5666666E-4  |  KEHNLLKIKCCBKABIFPGEDCCLGFBACOCNFOKKDOJG
8)  2.3333332E-5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  1.0000001E-5  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
10)  1.1666667E-4  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  1.8E-4  |  KKACJABFLJLABMBMGLIKIMLOGFBACOCNFOKKDOJG
12)  2.3333334E-4  |  KKACJABFEKFCEPKIGHCEDCCLGFBACOCNFOKKDOJG
13)  1.2E-4  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
14)  1.6666666E-4  |  JDKDAFCEHBELCIINMPKENJMBCBCOAGLJHJGAFLHD
15)  1.2E-4  |  KEECILEKPLPBPPKIFLIKIMLOIIMHIKKPEMIOFPBO
16)  8.666667E-5  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
17)  2.5666665E-4  |  MJGCJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
18)  1.1666667E-4  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
19)  2.2666667E-4  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  5.6666668E-5  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
21)  -3.3333333E-6  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
22)  1.0E-4  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
23)  2.5666665E-4  |  ANOLFGJKDPCHEHPPGOGEAKEIIKPILHMGLHNKMHGF
24)  1.0666667E-4  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
25)  6.333333E-5  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
26)  1.9666668E-4  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
27)  2.0000001E-5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
28)  2.2E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  8.666667E-5  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
30)  2.3333334E-4  |  KDCMDEMMPGJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 2 Average Fitness: 1.18E-4

##########  Generation 3  ##########

1)  2.53125E-4  |  FJDGKPILBABMMHMLKNMKLLOEPKJBFLCMPGIJLKIE
2)  1.96875E-4  |  KKACJABFKCCCEPKIGHCEDCCLGFBACOCNFOKKDOJG
3)  1.84375E-4  |  JDGLJKEAOKPNCAGBNMKGNJMBCBCOAGLJHJGAFLHD
4)  2.2666667E-4  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
5)  6.333333E-5  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
6)  9.333333E-5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  2.3333332E-5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
8)  1.6666666E-4  |  JDKDAFCEHBELCIINMPKENJMBCBCOAGLJHJGAFLHD
9)  5.6666668E-5  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
10)  1.9666668E-4  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
11)  1.5937499E-4  |  DJEGEMMDJJOFCKGPGOOBEHEKLNCDDAMHMMMPECHL
12)  1.71875E-4  |  KEECILEKPLPBPPKIFLFOPHMDHJMGPMPDEMIOFPBO
13)  1.2E-4  |  KEECILEKPLPBPPKIFLIKIMLOIIMHIKKPEMIOFPBO
14)  1.5E-4  |  KEECILEKPLPBPPKIFLIOPJOJIBMJNFJHFMIOFPBO
15)  2.0000001E-5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
16)  3.125E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
17)  2.34375E-4  |  KKACJABFLGKJGDBMGLIKIMLOGFBACOCNFOKKDOJG
18)  1.53125E-4  |  MJGCJABPOFFCDMMMGHCEDCCLGFBACOCNFOKKDOJG
19)  1.7812499E-4  |  ANOLFEMDPOAAMLPOMNMEAPJCIKPILHMGLHNKMHGF
20)  2.2E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
21)  1.6562501E-4  |  KKACJABFLJLABMBPGLIKIMLOGFBACOCNFOKKDOJG
22)  2.1875E-4  |  MJGCJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
