##########  Generation 1  ##########

1)  -0.1  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.4  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  8.3  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  5.7  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.9  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  11.2  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  0.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  9.0  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  2.1  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  4.7  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.3  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.4  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  6.3  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  7.0  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  16.8  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  7.4  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  -0.2  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  0.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  3.0  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  5.2  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  0.8  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  3.8  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.4  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  1.2  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  7.2  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 3.5200002

##########  Generation 1  ##########

1)  -0.4  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.6  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  7.0  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  6.1  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.3  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  11.4  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  7.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.2  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  12.7  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.2  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  4.2  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  -0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.2  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  6.6  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  3.4  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  15.3  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  6.0  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  0.6  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
