##########  Generation 1  ##########

1)  0.0  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.6  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  5.7  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  6.9  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.4  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  10.3  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  8.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  7.6  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  10.1  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  5.9  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  3.5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  -0.4  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.1  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  7.8  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  14.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  -0.9  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  1.3  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  9.9  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  0.2  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  5.0  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  5.9  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  4.9  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  0.3  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  7.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 3.936667

##########  Generation 2  ##########

1)  14.3  |  CLOMDEMMPGMDIMCGBMMKLLONMPPMJJCDEHPIAADL
2)  8.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
3)  14.9  |  ANOLFGJKDPCHEKHAGOGEAGHOIKPILHMGLHNKMHGF
4)  8.4  |  FPHGFFFPLMMHACAPGCMNKBANFEPJAGLGHPDGLKEF
5)  5.9  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
6)  6.7  |  NEDGKPILKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
7)  13.4  |  KKACJABFLJLABMBMGHCOBDFCLLAJLIKAFOKKDOJG
8)  0.1  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  8.2  |  FOGKGCLEAGKAMIAMHEFOPHMDHJMGENHAEFAACPCG
10)  4.9  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  9.2  |  KKACJABFLJFCEPKIFLIEDCCLGFBACOCNFOKKDOJG
12)  10.1  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
13)  11.3  |  KKACJAEALJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
14)  1.3  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
15)  0.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
16)  9.5  |  PMJOFNLPEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
17)  17.8  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
18)  11.3  |  MIFOENGFMDCGJIGBNMKGNJMBCBCOAGLJHJGAFLHD
19)  10.0  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
