##########  Generation 1  ##########

1)  37.9  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.0  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  34.3  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  0.9  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  1.8  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  50.7  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  2.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  52.2  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  6.0  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  10.5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.4  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  0.4  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  90.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  49.1  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  1.5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  53.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  2.2  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  23.2  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  22.7  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  9.4  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.6  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  4.2  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  27.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 16.19

##########  Generation 2  ##########

1)  37.9  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  2.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
3)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
4)  49.1  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
5)  68.7  |  FPHGFFFPLMMHACAPLCMNKBANFEPJGOBJMBOGLKEF
6)  0.0  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
7)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
8)  0.4  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
10)  9.4  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  34.3  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
12)  55.9  |  KKACJABFLJLABPKIFLIKIMLOIMBACOCNFOKKDOJG
13)  49.8  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
14)  1.5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
15)  0.6  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
16)  0.9  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
17)  59.7  |  KKACJJGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
18)  66.9  |  JDFOENGFMBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
19)  53.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  4.2  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
