##########  Generation 1  ##########

1)  -1.1  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.6  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  38.4  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  0.9  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.6  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  54.0  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  38.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  49.1  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  74.5  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.4  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  0.2  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.1  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.2  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  15.1  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  31.1  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  9.3  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  72.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  48.3  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  28.5  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  2.8  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  59.0  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  0.2  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  29.9  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  35.2  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  49.8  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  31.8  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  2.5  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  36.0  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  48.8  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 25.26

##########  Generation 2  ##########

1)  66.6  |  CLOMDEMMPGMDIMCGKNMKLLONMPPFOOJDEHPIAADL
2)  58.0  |  FJDGKPILBALJGDDBPBOAPHDECKBEENCMPGIJLKIE
3)  45.6  |  KKACJABFLJLAEPKIFLIKDCCLGFBACOCNFOKKDOJG
4)  68.4  |  MJGMJJGFLENLDMMMJIFKLEMPPODAPJCEJHGGPEEK
5)  0.6  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  54.0  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  55.9  |  DJEGELKIKCCBKKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  51.2  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
9)  63.3  |  MJGMJABFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
10)  74.5  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.4  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  72.0  |  ANOLFGIDMCCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
13)  0.1  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  51.8  |  AEDHJJKJKEMAMIAMHENOIKLPCGECDLEJGEIEGNEI
15)  43.5  |  KKACJABFLJLABMBMGHCPBCCLGFBACOCNFOKKDOJG
16)  69.2  |  MJGMJJGFLENLJIEDCFMAGEMPPODAPJCEJHGGPEEK
17)  9.3  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  72.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  48.3  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  28.5  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
