##########  Generation 1  ##########

1)  -0.9  |  DLMPDJINICNLKLMPHDMHIJNHFOPCOOJMPPODGJGH
2)  0.0  |  LBBANMKDEKMFINFPDIEOOAFMGLHFIOILAFPHDPIC
3)  -0.2  |  GBKDPHFADPDJFNNMGINMJCJIEJDOLHLLFEBOAAMC
4)  -0.1  |  BBNBGGCKDFNIFFAOOJFNNIFFHNHDNIPOAMOFKIJH
5)  14.7  |  FGBCHFGFEIEJPGHEIJMAKCKJKJCGCFLHDGJDAJLE
6)  0.6  |  HCEJNGFOIIHMIBHEPGFJMLNIHKNIFPCDEHPGHEGF
7)  0.8  |  BOONAKFEKHAKFOEKNHADBNOPOLJFBCFDPLMHLIDG
8)  2.3  |  FMFDKJOPLJHNOKOJMKHFEBIPAFPJFLJINCLEHJID
9)  0.2  |  MHFAMAGMGFDAIDHFBOFABLDPMBOAFNECIIFEDDIH
10)  1.3  |  JBBBKGEJCHNGBAEGLFFCOBDJIKAMJIMMPODINHCI
11)  0.3  |  PJCAMLJLIAJHNFHFIAMEJCOJHILDHPMGBILFDAGB
12)  -0.5  |  PDDGIFELMCOPCAJHICAPAJOGHMEFLPIPFGIFPKEE
13)  1.3  |  GHOPIHFBMLEMJJEIMFMEIOLGHHDDLAFPHKMKPENG
14)  0.2  |  ODFPGMPHNHPGODGFLPNDIBFONDOBDPBPCHIOIALD
15)  0.1  |  FOFBBIGGDAHKKKBHEEALBPIEEMCALBLMDLEIIOPA
16)  0.9  |  NCMDJBBOMPECHCDNFNFMENJKILOAECDFCPPHKHKI
17)  0.8  |  MKIGDONODMMKLLPKPNLFEDLCONEOBNFKEDPHJODH
18)  0.6  |  GLEGEKMLIGAGMLLNAAAOPFOOKMKMKBNOIDHOAGMN
19)  3.3  |  LNICNHMBBJKGGOLICDAIKCJFMALNEKGHIDKHPMBD
20)  0.1  |  AHNOGEBHEAOJNGIKBFMPANNFDBEGJADOBJOIBMEK
21)  0.4  |  HLEPGHBFBPHIKHFOLFCILJHPJPKIMMACNLPHFFBN
22)  1.6  |  HMLIIKHLBNJEHNLNNKFFFDDMJBGPEOJBIKOKFHPG
23)  1.2  |  MAIKPBHCMONBCLOIIBEGMFMJCBLHNEOGBIMADIKI
24)  -0.6  |  LDGCPHPNKBJIBGNHHBPBCJMPFNBAAMIMAFOLHNFK
25)  0.7  |  PAJOHCDCALGEHJOAMLOGOANGLKPBCGDDINOEKNIO
26)  0.1  |  AFLDPICDAMCALMNAEHGBEBMHJFBCPFKAHKOLNGKB
27)  7.4  |  KDAAJGDBEBLICDECGJONFNMIJOBKPELBPPDIMALF
28)  0.9  |  AIACHFMILCOFKPACJGNDGHBDJOALDPJCMJMMLPBP
29)  0.5  |  EMEIBHBHOAPFNGJCLHEDBOBMHKMKKBLCKFIMDFNA
30)  1.2  |  NNGFPMOLIKMEMHNINGAEMCLMHNACKFOOFNJEKPBI
Generation 1 Average Fitness: 1.3066669

##########  Generation 2  ##########

1)  -0.9  |  DLMPDJINICNLKLMPHDMHIJNHFOPCOOJMPPODGJGH
2)  0.0  |  LBBANMKDEKMFINFPDIEOOAFMGLHFIOILAFPHDPIC
3)  -0.2  |  GBKDPHFADPDJFNNMGINMJCJIEJDOLHLLFEBOAAMC
4)  -0.1  |  BBNBGGCKDFNIFFAOOJFNNIFFHNHDNIPOAMOFKIJH
5)  14.7  |  FGBCHFGFEIEJPGHEIJMAKCKJKJCGCFLHDGJDAJLE
6)  0.6  |  HCEJNGFOIIHMIBHEPGFJMLNIHKNIFPCDEHPGHEGF
